#FILE	NUM_FOUND	Col(BS512)_1	Col(IRGK)_1	Col(MG828)_1	Col(MP18)_1	Col(SD853)_1	Col(Ye4449)_1	Col(pWES)_1	Col156_1	Col3M_1	Col440II_1	Col440I_1	Col8282_1	ColKP3_1	ColRNAI_1	ColpVC_1	FII(pBK30683)_1	IncA/C2_1	IncFIB(AP001918)_1	IncFIC(FII)_1	IncFII(pECLA)_1_pECLA	IncFII_1	IncFII_1_pKP91	IncN_1	IncP1_1	IncP1_2	IncP6_1	IncQ1_1	IncQ2_1	IncU_1	rep11a_1_repA(pB82)	rep13_14_rep(pPI2)	rep14a_3_EFAU085p5001(AUS0085p5)	rep14b_4_EMQU3221(pQY003)	rep16_3_rep(pSaa6159)	rep18b_1_BO23315710(pE1p13)	rep19c_2_rep(pvSw4)	rep20_13_repA(p11819p97)	rep21_1_rep(pWBG754)	rep5c_1_rep(pRJ9)	rep5e_1_rep(pSHaeC)	rep7a_5_repD(pTZ4)	repUS35_1_A28412072(pvSw2)	repUS5_1_CDS20(pETB)
GCA_017152875.1_ASM1715287v1_genomic.fna.gz	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017152915.1_ASM1715291v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153035.1_ASM1715303v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153095.1_ASM1715309v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153555.1_ASM1715355v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153595.1_ASM1715359v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153615.1_ASM1715361v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153635.1_ASM1715363v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153655.1_ASM1715365v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_017153675.1_ASM1715367v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
